TARGET,,,,stage,,,,,source,,references,,
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,вид_пикета_value,uuid,жуфвр_1с,pikets,ВидПикета_value,,вид_пикета_value," uuid,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,вид_пикета_codе,varchar,жуфвр_1с,pikets,ВидПикета_codе,,вид_пикета_codе," varchar,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,вид_пикета_name,varchar,жуфвр_1с,pikets,ВидПикета_name,,вид_пикета_name," varchar,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,тип_пикета_value,uuid,жуфвр_1с,pikets,ТипПикета_value,,тип_пикета_value," uuid,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,тип_пикета_codе,varchar,жуфвр_1с,pikets,ТипПикета_codе,,тип_пикета_codе," varchar,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,тип_пикета_name,varchar,жуфвр_1с,pikets,ТипПикета_name,,тип_пикета_name," varchar,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,группа_пикетов_spider_value,uuid,жуфвр_1с,pikets,ГруппаПикетовSpider_value,,группа_пикетов_spider_value," uuid,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,группа_пикетов_spider_codе,varchar,жуфвр_1с,pikets,ГруппаПикетовSpider_codе,,группа_пикетов_spider_codе," varchar,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,группа_пикетов_spider_name,varchar,жуфвр_1с,pikets,ГруппаПикетовSpider_name,,группа_пикетов_spider_name," varchar,"
hub,dv_hub_fact_work,,bk,,stg_1c_materials,bk_работа_uuid,varchar,жуфвр_1с,materials,КлючСвязи,,bk_работа_uuid," varchar,"
,,,,,,,,,,,,," ,"
msat,dv_msat_fact_materials,,bk,,stg_1c_materials,bk_работа_uuid,varchar,жуфвр_1с,materials,КлючСвязи,dv_hub_fact_work,bk_работа_uuid," varchar,"
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,номер_строки,int,жуфвр_1с,materials,НомерСтроки,,номер_строки," int,"
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,примечание,varchar,жуфвр_1с,materials,Примечание,,примечание," varchar,"
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,объем_материала,numeric,жуфвр_1с,materials,ОбъемМатериала,,объем_материала," numeric,"
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,ресурс_value,uuid,жуфвр_1с,materials,Ресурс_value,,ресурс_value," uuid,"
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,ресурс_codе,varchar,жуфвр_1с,materials,Ресурс_codе,,ресурс_codе," varchar,"
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,ресурс_name,varchar,жуфвр_1с,materials,Ресурс_name,,ресурс_name," varchar,"
hub,dv_hub_fact_work,,bk,,stg_1c_tech,bk_работа_uuid,varchar,жуфвр_1с,tech,КлючСвязи,,bk_работа_uuid," varchar,"
hub,dv_hub_tech,,bk,в составе поля  Аналитика_name,stg_1c_tech,bk_гар_номер,varchar,жуфвр_1с,tech,гар_номер,,bk_гар_номер," varchar,"
,,,,,,,,,,,,," ,"
link,dv_lnk_fact_work_tech,,bk,,stg_1c_tech,bk_работа_uuid,varchar,жуфвр_1с,tech,КлючСвязи,dv_hub_fact_work,bk_работа_uuid," varchar,"
link,dv_lnk_fact_work_tech,,bk,,stg_1c_tech,bk_гар_номер,varchar,жуфвр_1с,tech,гар_номер,dv_hub_tech,bk_гар_номер," varchar,"
,,,,,,,,,,,,," ,"
sat,dv_sat_fact_tech,,bk,,stg_1c_tech,bk_гар_номер,varchar,жуфвр_1с,tech,гар_номер,dv_lnk_fact_work_tech,bk_гар_номер," varchar,"
sat,dv_sat_fact_tech,,bk,,stg_1c_tech,bk_работа_uuid,varchar,жуфвр_1с,tech,КлючСвязи,dv_lnk_fact_work_tech,bk_работа_uuid," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,примечание,varchar,жуфвр_1с,tech,Примечание,,примечание," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,госномер_техника_не_найдена,varchar,жуфвр_1с,tech,ГосНомерТехникаНеНайдена,,госномер_техника_не_найдена," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,количество,int,жуфвр_1с,tech,Количество,,количество," int,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,часы,numeric,жуфвр_1с,tech,Часы,,часы," numeric,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,ресурс_value,uuid,жуфвр_1с,tech,Ресурс_value,,ресурс_value," uuid,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,ресурс_codе,varchar,жуфвр_1с,tech,Ресурс_codе,,ресурс_codе," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,ресурс_name,varchar,жуфвр_1с,tech,Ресурс_name,,ресурс_name," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,аналитика_value,uuid,жуфвр_1с,tech,Аналитика_value,,аналитика_value," uuid,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,аналитика_codе,varchar,жуфвр_1с,tech,Аналитика_codе,,аналитика_codе," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,аналитика_name,varchar,жуфвр_1с,tech,Аналитика_name,,аналитика_name," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,контрагент_value,varchar,жуфвр_1с,tech,Контрагент_value,,контрагент_value," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,контрагент_codе,varchar,жуфвр_1с,tech,Контрагент_codе,,контрагент_codе," varchar,"
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,контрагент_name,varchar,жуфвр_1с,tech,Контрагент_name,,контрагент_name," varchar,"
hub,dv_hub_fact_work,,bk,,stg_1c_norm_workload,bk_работа_uuid,varchar,жуфвр_1с,norm_workload,Регистратор,,bk_работа_uuid," varchar,"
,,,,,,,,,,,,," ,"
msat,dv_msat_norm_workload,,bk,,stg_1c_norm_workload,bk_работа_uuid,varchar,жуфвр_1с,norm_workload,Регистратор,dv_hub_fact_work,bk_работа_uuid," varchar,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,период,timestamptz,жуфвр_1с,norm_workload,Период,,период," timestamptz,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,рассчетный_объем,numeric,жуфвр_1с,norm_workload,РассчетныйОбъем,,рассчетный_объем," numeric,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,трудоемкость_нормативная,numeric,жуфвр_1с,norm_workload,ТрудоемкостьНормативная,,трудоемкость_нормативная," numeric,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,трудоемкость_фактическая,numeric,жуфвр_1с,norm_workload,ТрудоемкостьФактическая,,трудоемкость_фактическая," numeric,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,наемный_ресурс,bool,жуфвр_1с,norm_workload,НаемныйРесурс,,наемный_ресурс," bool,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключевой_ресурс_value,uuid,жуфвр_1с,norm_workload,КлючевойРесурс_value,,ключевой_ресурс_value," uuid,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключевой_ресурс_code,varchar,жуфвр_1с,norm_workload,КлючевойРесурс_codе,,ключевой_ресурс_code," varchar,"
