TARGET,,,,stage,,,,,source,,references
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,тип_пикета_value,uuid,жуфвр_1с,src_pikets,"""ТипПикета_value""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,тип_пикета_codе,varchar,жуфвр_1с,src_pikets,"""ТипПикета_codе""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,тип_пикета_name,varchar,жуфвр_1с,src_pikets,"""ТипПикета_name""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,группа_пикетов_spider_value,uuid,жуфвр_1с,src_pikets,"""ГруппаПикетовSpider_value""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,группа_пикетов_spider_codе,varchar,жуфвр_1с,src_pikets,"""ГруппаПикетовSpider_codе""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,группа_пикетов_spider_name,varchar,жуфвр_1с,src_pikets,"""ГруппаПикетовSpider_name""",
hub,dv_hub_fact_work,,bk,,stg_1c_materials,bk_работа_uuid,varchar,жуфвр_1с,src_materials,"""КлючСвязи""",
,,,,,,,,,,,
msat,dv_msat_fact_materials,,bk,,stg_1c_materials,bk_работа_uuid,varchar,жуфвр_1с,src_materials,"""КлючСвязи""",dv_hub_fact_work
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,номер_строки,int,жуфвр_1с,src_materials,"""НомерСтроки""",
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,примечание,varchar,жуфвр_1с,src_materials,"""Примечание""",
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,объем_материала,numeric,жуфвр_1с,src_materials,"""ОбъемМатериала""",
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,ресурс_value,uuid,жуфвр_1с,src_materials,"""Ресурс_value""",
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,ресурс_codе,varchar,жуфвр_1с,src_materials,"""Ресурс_codе""",
msat,dv_msat_fact_materials,,attr,,stg_1c_materials,ресурс_name,varchar,жуфвр_1с,src_materials,"""Ресурс_name""",
hub,dv_hub_fact_work,,bk,,stg_1c_tech,bk_работа_uuid,varchar,жуфвр_1с,src_tech,"""КлючСвязи""",
hub,dv_hub_tech,,bk,,stg_1c_tech,bk_ресурс_uuid,varchar,жуфвр_1с,src_tech,"""Аналитика_value""",
,,,,,,,,,,,
link,dv_lnk_fact_work_tech,,bk,,stg_1c_tech,bk_работа_uuid,varchar,жуфвр_1с,src_tech,"""КлючСвязи""",dv_hub_fact_work
link,dv_lnk_fact_work_tech,,bk,,stg_1c_tech,bk_ресурс_uuid,varchar,жуфвр_1с,src_tech,"""Аналитика_value""",dv_hub_tech
,,,,,,,,,,,
esat,dv_esat_fact_work_tech,,drive,,stg_1c_tech,hk_dv_hub_fact_work,varchar,жуфвр_1с,src_tech,"""КлючСвязи""",dv_lnk_fact_work_tech
esat,dv_esat_fact_work_tech,,depend,,stg_1c_tech,hk_dv_hub_tech,varchar,жуфвр_1с,src_tech,"""Аналитика_value""",dv_lnk_fact_work_tech
,,,,,,,,,,,
,,,,,,,,,,,
sat,dv_sat_fact_tech,,bk,,stg_1c_tech,bk_ресурс_uuid,varchar,жуфвр_1с,src_tech,"""Аналитика_value""",dv_lnk_fact_work_tech
sat,dv_sat_fact_tech,,bk,,stg_1c_tech,bk_работа_uuid,varchar,жуфвр_1с,src_tech,"""КлючСвязи""",dv_lnk_fact_work_tech
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,примечание,varchar,жуфвр_1с,src_tech,"""Примечание""",
